"","tmax_mov","tmin_mov","rh_mov","rain_mov"
"48",30.2350453657296,23.7563033120764,92.007607460022,34.0089375
"49",30.2050694672818,23.9315709667191,92.136570249285,40.3065625
"50",30.1926203342983,24.0156314317953,92.3043877737863,51.8135
"51",29.9715214271163,24.061116875085,92.5748137065343,52.3496875
"52",30.091747776207,24.1454366970983,92.5993456840515,51.13925
"53",30.1659180967462,24.2704467408076,92.9230920927865,56.2320625
"54",30.1722291155503,24.4145800360167,93.1379199709211,60.2354375
"55",30.0014915620766,24.3793536004633,93.1850446973528,61.82
"56",29.8201376646418,24.3354012448466,93.3447064672198,59.9385
"57",29.8384079199926,24.3889498071381,93.5217042650495,53.998125
"58",29.8282929994435,24.2341482965807,93.273086479732,53.869375
"59",29.7721739217304,24.1301865091935,93.2392660549709,53.7909375
"60",29.7653730064894,24.0106344881394,93.3062735966274,54.3060625
"61",29.4929098987754,23.7617209903192,93.2565957478114,44.239875
"62",29.4986042244179,23.452769243291,92.9392544201442,42.3593125
"63",29.3347309845475,23.0987066796602,92.5246213504246,36.2454375
"64",29.1492043221683,22.8708183842121,92.6156813076564,36.943375
"65",28.8950748681675,22.5137530435977,92.5264013154166,31.424125
"66",28.8789947380639,22.117680419635,92.2898011207581,19.9109375
"67",28.9393845600088,21.8129014375513,91.9067519051688,18.5365
"68",28.686788193681,21.4583547409711,91.7697138786316,18.559375
"69",28.37055716195,21.1218419967545,91.593314579555,14.1435625
"70",28.1604434619284,20.7057066728309,91.440465586526,11.4019375
"71",27.9070056264267,20.3922709325337,91.4928718975612,11.223375
"72",27.4688537802823,19.9822852497644,91.6047140530177,11.8208125
"73",27.2175196177153,19.5419029339604,91.4573715073722,12.27075
"74",27.0477503301403,19.2561780415265,91.4349987847464,11.9350625
"75",26.6952900160323,19.0601618319112,91.5606348173959,10.8808125
"76",26.5100054201278,18.8743412316699,91.6804436956133,9.0968125
"77",26.8749494481442,18.7530371104181,91.3936161994934,9.1860625
"78",26.8089632798441,18.7293203593871,91.425977230072,9.245625
"79",26.9270859560001,18.7690596056469,91.4279443195888,9.496375
"80",26.835849948996,18.6432657276386,91.2601960727146,8.7311875
"81",27.1551644465354,18.7872895165852,91.3034274918692,8.283
"82",27.3694048036016,19.0294827879893,91.2643741198949,8.3776875
"83",27.640795902642,19.2088598092142,91.2077913284302,9.1044375
"84",27.5861983856268,19.2947069554129,91.3878177915301,9.5841875
"85",28.0112555881886,19.534675520645,91.4012931415013,8.9071875
"86",27.9997804845913,19.6793621106533,91.30691412517,11.4906875
"87",28.1752152803714,19.8894758106749,91.2706623758588,10.942
"88",28.689831315077,20.284885633576,91.1194742747715,11.337375
"89",29.1565700591836,20.6996031395765,91.0535792623247,10.674625
"90",29.5459166932427,21.0983442582481,91.1056199073791,12.482875
"91",29.9539543172396,21.4951430816349,91.1180992807661,12.0230625
"92",30.2149999562312,21.7680730318358,90.8630113601685,12.0230625
"93",30.0420838044853,22.036910905917,90.9365406036377,12.5716875
"94",30.3109562594915,22.3128321061265,90.8472257341657,20.69675
"95",30.187969199892,22.5170497584434,91.2284558159964,20.0479375
"96",30.3925787693584,22.8581098942915,91.5469570841108,30.7051875
